Metric,Mean,Standard Deviation
Validation RMSE,984.0021556767867,97.28435927292395
Validation MAE,588.371623357043,46.00396819504012
Validation MAPE,0.10392252556974332,0.004559702261720687
Test RMSE,1091.8442892582352,9.04235057748285
Test MAE,685.5390816511525,4.713184152919093
Test MAPE,0.11350613887495761,0.0007803717531551506
